age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
168,35.0,Houston,1983,1,14,Clyde Drexler,200.66,HOU
169,28.0,Cincinnati,1993,1,25,Corie Blount,208.28,LAL
170,23.0,Arkansas,1995,1,13,Corliss Williamson,200.66,SAC
171,24.0,Virginia,1995,1,29,Cory Alexander,185.42,SAS
172,35.0,Washington State,1983,3,48,Craig Ehlo,198.12,SEA
173,25.0,Purdue,1995,2,57,Cuonzo Martin,195.58,MIL
174,28.0,Clemson,1991,1,13,Dale Davis,210.82,IND
175,36.0,Tennessee,1983,1,9,Dale Ellis,200.66,DEN
176,23.0,Arizona,1995,1,7,Damon Stoudamire,177.8,TOR
177,26.0,Southern Mississippi,1992,1,9,Clar. Weatherspoon,200.66,PHI
178,31.0,Central Michigan,1988,1,14,Dan Majerle,198.12,MIA
179,30.0,Boston College,1989,1,16,Dana Barros,180.34,BOS
180,30.0,Duke,1989,1,2,Danny Ferry,208.28,CLE
181,31.0,Kansas,1988,1,1,Danny Manning,208.28,PHX
182,29.0,Fayetteville State,Undrafted,Undrafted,Undrafted,Darrell Armstrong,185.42,ORL
183,26.0,UCLA,Undrafted,Undrafted,Undrafted,Darrick Martin,180.34,LAC
184,25.0,Kansas,1994,2,38,Darrin Hancock,200.66,ATL
185,23.0,Texas Tech,Undrafted,Undrafted,Undrafted,Darvin Ham,200.66,IND
186,31.0,Navy,1987,1,1,David Robinson,215.9,SAS
187,24.0,Memphis,1995,1,25,David Vaughn,205.74,ORL
188,26.0,Baylor,Undrafted,Undrafted,Undrafted,David Wesley,185.42,BOS
189,33.0,Georgetown,1986,2,44,David Wingate,195.58,SEA
190,38.0,Syracuse,1981,1,13,Dan Schayes,210.82,ORL
191,24.0,Pennsylvania,1995,2,49,Jerome Allen,193.04,DEN
192,29.0,North Carolina State,1989,2,43,Chucky Brown,203.2,MIL
193,25.0,Clemson,1993,2,47,Chris Whitney,182.88,WAS
194,26.0,Long Beach State,1993,2,45,Bryon Russell,200.66,UTA
195,37.0,Maryland,1981,1,3,Buck Williams,203.2,NYK
196,36.0,Arizona State,1983,1,4,Byron Scott,193.04,LAL
197,25.0,Indiana,1993,1,6,Calbert Cheaney,200.66,WAS
198,30.0,Houston,1990,2,30,Carl Herrera,205.74,SAS
199,27.0,Eastern Michigan,Undrafted,Undrafted,Undrafted,Carl Thomas,193.04,CLE
200,26.0,Tennessee State,1994,1,11,Carlos Rogers,210.82,TOR
201,27.0,Cal State-Fullerton,1990,2,48,Cedric Ceballos,200.66,PHX
202,34.0,Auburn,1984,1,5,Charles Barkley,198.12,HOU
203,40.0,Albany State (GA),1979,8,165,Charles Jones,205.74,HOU
204,33.0,Virginia Union,1985,1,9,Charles Oakley,205.74,NYK
205,27.0,Duke,1992,1,3,Christian Laettner,210.82,ATL
206,31.0,Pittsburgh,1988,1,3,Charles Smith,208.28,SAS
207,24.0,Duke,1995,1,12,Cherokee Parks,210.82,MIN
208,23.0,Southern Illinois,1995,2,56,Chris Carr,198.12,MIN
209,29.0,Boise State,Undrafted,Undrafted,Undrafted,Chris Childs,190.5,NYK
210,32.0,Yale,1987,4,75,Chris Dudley,210.82,POR
211,29.0,Old Dominion,1991,1,16,Chris Gatling,208.28,NJN
212,27.0,Ohio State,Undrafted,Undrafted,Undrafted,Chris Jent,200.66,NYK
213,27.0,Arizona,1993,1,22,Chris Mills,200.66,CLE
214,31.0,Auburn,1988,1,4,Chris Morris,203.2,UTA
215,33.0,St. John's (NY),1985,1,7,Chris Mullin,200.66,GSW
216,23.0,Western Kentucky,1996,2,51,Chris Robinson,195.58,VAN
217,24.0,Michigan,1993,1,1,Chris Webber,208.28,WAS
218,26.0,Florida State,1994,1,26,Charlie Ward,187.96,NYK
219,35.0,Longwood,1984,2,46,Jerome Kersey,200.66,LAL
220,24.0,Iowa State,1995,2,52,Fred Hoiberg,193.04,IND
221,22.0,North Carolina,1995,1,3,Jerry Stackhouse,198.12,PHI
222,30.0,Michigan,1990,1,10,Rumeal Robinson,187.96,POR
223,27.0,Florida State,1993,1,24,Sam Cassell,190.5,NJN
224,27.0,Houston,Undrafted,Undrafted,Undrafted,Sam Mack,200.66,HOU
225,33.0,Mercer,1985,3,54,Sam Mitchell,200.66,MIN
226,36.0,North Carolina,1984,1,4,Sam Perkins,205.74,SEA
227,21.0,Louisville,1996,1,9,Samaki Walker,205.74,DAL
228,33.0,None,1987,6,127,Sarunas Marciulionis,195.58,DEN
229,27.0,None,1992,2,43,Sasha Danilovic,198.12,DAL
230,31.0,California-Irvine,Undrafted,Undrafted,Undrafted,Scott Brooks,180.34,NYK
231,26.0,Connecticut,1993,1,20,Scott Burrell,200.66,GSW
232,29.0,North Carolina,Undrafted,Undrafted,Undrafted,Scott Williams,208.28,PHI
233,25.0,Weber State,Undrafted,Undrafted,Undrafted,Ruben Nembhard,190.5,POR
